,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-02-01,2024-02-01,2024-02-01,2024-03-01,2024-03-01,2024-03-01,2024-04-01,2024-04-01,2024-04-01,2024-05-01,2024-05-01,2024-05-01,2024-06-01,2024-06-01,2024-06-01,2024-06-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-08-01,2024-08-01,2024-08-01,2024-08-01,2024-09-01,2024-09-01,2024-09-01,2024-09-01,2024-10-01,2024-10-01,2024-10-01,2024-10-01,2024-11-01,2024-11-01,2024-11-01,2024-11-01,2024-12-01,2024-12-01,2024-12-01,2024-12-01
Sueldos,3007833,0,3007833,,4235000,,7242833,4235000,,11477833,4235000,,15712833,4235000,,19947833,4235000,,24182833,,4235000,,28417833,,4235000,,32652833,,4235000,,36887833,,4235000,,41122833,,4235000,,45357833,,3670334,,49028167,
Horas extras ,118800,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auxilio de transporte,260448,0,260448,,162000,,422448,162000,,584448,162000,,746448,162000,,908448,162000,,1070448,,162000,,1232448,,162000,,1394448,,162000,,1556448,,162000,,1718448,,162000,,1880448,,140400,,2020848,
Cesantías,31257,0,31257,,366270,,397527,366271,,763798,366271,,1130069,366271,,1496340,366271,,1862611,,366271,,2228882,,366271,,2595153,,366271,,2961424,,366271,,3327695,,366271,,3693966,,317434,,4011400,
Intereses sobre cesantías,260448,0,260448,,43952,,304400,43952,,348352,43952,,392304,43952,,436256,43952,,480208,,43952,,524160,,43952,,568112,,43952,,612064,,43952,,656016,,43952,,699968,,38092,,738060,
Prima de servicios,125400,0,125400,,366270,,491670,366271,,857941,366271,,1224212,366271,,1590483,366271,,1956754,,366271,,2323025,,366271,,2689296,,366271,,3055567,,366271,,3421838,,366271,,3788109,,317434,,4105543,
Vacaciones,,0,,,176600,,176600,176600,,353200,176600,,529800,176600,,706400,176600,,883000,,176600,,1059600,,176600,,1236200,,176600,,1412800,,176600,,1589400,,176600,,1766000,,153053,,1919053,
Bonificaciones,,0,,,245000,0,245000,185000,,430000,200000,,630000,150000,,780000,350000,,1130000,,,,1130000,,150000,,1280000,,150000,,1430000,,150000,,1580000,,150000,,1730000,,650000,,2380000,
Dotación y elementos seguridad  trabajadores,9500,0,9500,,32000,0,41500,30000,,71500,636067,,707567,10000,,717567,,,717567,,,,717567,,,,717567,,,,717567,,,,717567,,,,717567,,40000,,757567,
Aportes a administradoras de riesgos profesionales arp,28254,0,28254,,44044,0,72298,44044,,116342,44044,,160386,37310,,197696,37310,,235006,,37310,,272316,,37310,,309626,,,,309626,,,,309626,,,,309626,,32335,,341961,
Aportes a entidades promotoras de salud eps,370660,0,370660,,,0,370660,,0,370660,,,370660,,,370660,,0,370660,,,0,370660,,,0,370660,,37310,0,407970,,37310,0,445280,,37310,,482590,,,,482590,
Aportes a fondos de pensiones y/o cesantías,123553,0,123553,,527640,0,651193,527640,,1178833,527640,,1706473,527640,,2234113,527640,,2761753,,527640,,3289393,,527640,,3817033,,527640,,4344673,,527640,,4872313,,527640,,5399953,,457288,,5857241,
Aportes cajas de compensación familiar,,0,,,175880,0,175880,175880,,351760,175880,,527640,169400,,697040,169400,,866440,,169400,,1035840,,169400,,1205240,,169400,,1374640,,169400,,1544040,,169400,,1713440,,146814,,1860254,
Drogas y medicamentos,,,,,,,,,,,,,,,,,,,,,6000,,6000,,,,6000,,,,6000,,,,6000,,,,6000,,,,6000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honorarios,300000,0,300000,,300000,0,600000,300000,0,900000,300000,0,1200000,300000,0,1500000,300000,0,1800000,,300000,0,2100000,,300000,0,2400000,,300000,0,2700000,,300000,0,3000000,,300000,,3300000,,300000,,3600000,
Asesoria Juridica ,,0,,,0,0,,0,0,,0,0,,0,0,,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
Asesoría financiera,300000,0,300000,,300000,0,600000,300000,,900000,300000,,1200000,300000,,1500000,300000,,1800000,,300000,,2100000,,300000,,2400000,,300000,,2700000,,300000,,3000000,,300000,,3300000,,300000,,3600000,
EXOGENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impuestos,,0,,,159890,0,159890,,0,159890,205000,0,364890,,0,364890,,0,364890,,414000,0,778890,,,0,778890,,,0,778890,,,0,778890,,,0,778890,,,0,778890,
Insdustria y Comercio ,0,0,,,0,0,,,0,,205000,,205000,,,205000,0,,205000,,414000,,619000,,0,,619000,,0,,619000,,0,,619000,,0,,619000,,0,,619000,
A la propiedad raiz ,0,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
De vehículos,0,0,,,159890,0,159890,,0,159890,0,0,159890,0,0,159890,0,0,159890,,0,0,159890,,0,0,159890,,0,0,159890,,0,0,159890,,0,0,159890,,0,0,159890,
Otros,0,,,,,,,,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrendamientos,2120000,0,2120000,,2233000,0,4353000,2609000,0,6962000,2460000,0,9422000,2230240,0,11652240,2120000,0,13772240,,2285200,0,16057440,,2120000,0,18177440,,2270400,0,20447840,,2207750,0,22655590,,2120000,,24775590,,2168000,,26943590,
Construcciones y edificaciones,2120000,0,2120000,,2120000,0,4240000,2120000,0,6360000,2120000,0,8480000,2120000,0,10600000,2120000,,12720000,,2120000,,14840000,,2120000,,16960000,,2120000,,19080000,,2120000,,21200000,,2120000,,23320000,,2120000,,25440000,
Maquinaria y equipo ,,0,,,113000,,113000,489000,,602000,340000,,942000,110240,,1052240,0,,1052240,,165200,,1217440,,,,1217440,,150400,,1367840,,87750,,1455590,,0,,1455590,,48000,,1503590,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afilicaciones y contribuciones,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,481583,,481583,,0,,481583,,0,,481583,,0,,481583,
Afiliaciones ,,0,,,,,,0,,,,,,,,,0,,,,0,,,,0,,,,481583,,481583,,0,,481583,,0,,481583,,0,,481583,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seguros,968800,0,968800,,,0,968800,,0,968800,,0,968800,,0,968800,,0,968800,,,0,968800,,,0,968800,,,0,968800,,,0,968800,,,,968800,,,,968800,
Flota y equipo de transporte ,968800,,968800,,,,968800,,,968800,,,968800,,,968800,0,,968800,,0,,968800,,0,,968800,,0,,968800,,0,,968800,,0,,968800,,0,,968800,
Obligatorio accidente de transito ,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Otros SOAT ,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios,1361393,0,1361393,,1590675,0,2952068,971060,0,3923128,2300009,0,6223137,2373892,0,8597029,1364300,0,9961329,,1435961,0,11397290,,2196464,0,13593754,,3263868,0,16857622,,3801387,0,20659009,,2584597,0,23243606,,2765994,0,26009600,
Aseo y vigilancia,,0,,,,0,,0,0,,0,0,,80000,0,80000,0,0,80000,,0,0,80000,,0,0,80000,,0,0,80000,,0,0,80000,,,0,80000,,,0,80000,
Temporales,1070000,0,1070000,,1170000,0,2240000,740000,,2980000,1975000,,4955000,1950000,,6905000,970000,,7875000,,960000,,8835000,,1680000,,10515000,,2910000,,13425000,,3190000,,16615000,,2300000,,18915000,,2460000,,21375000,
Procesamiento datos,,,,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Acueducto y alcantarillado,58800,0,58800,,58970,0,117770,60010,,177780,68910,,246690,189156,,435846,102710,,538556,,102890,,641446,,61770,,703216,,63360,,766576,,81770,,848346,,81030,,929376,,72320,,1001696,
Energía eléctrica,78900,0,78900,,85120,0,164020,109264,,273284,90031,,363315,,,363315,124223,,487538,,124629,,612167,,,,612167,,126973,,739140,,154383,,893523,,141781,,1035304,,128760,,1164064,
Teléfono fijo y moviles,153693,0,153693,,276585,0,430278,61786,,492064,166068,,658132,154736,,812868,167367,0,980235,,248442,,1228677,,154694,,1383371,,163535,,1546906,,175234,,1722140,,61786,,1783926,,104914,,1888840,
Correo portes y telegrama,,0,,,0,0,,0,0,,0,,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
Otros ,,0,,,0,0,,0,0,,,0,,,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
"Transportes, fletes y acarreos",,0,,,0,0,,0,0,,,0,,,0,,,,,,,,,,300000,,300000,,,,300000,,200000,,500000,,,,500000,,,,500000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastos legales,25210,0,25210,,7900,0,33110,,0,33110,,0,33110,,0,33110,,0,33110,,,0,33110,,7900,0,41010,,,0,41010,,,0,41010,,,0,41010,,1817800,0,1858810,
Notariales,0,0,,,0,0,,0,0,,,,,0,,,0,0,,,0,0,,,0,0,,,,0,,,,0,,,0,0,,,0,0,,
Registro mercantil,0,0,,,7900,0,7900,,0,7900,,,7900,,,7900,,,7900,,,,7900,,7900,,15800,,,,15800,,0,0,15800,,,,15800,,1817800,,1833600,
Trámites y licencias,25210,0,25210,,0,0,25210,,0,25210,0,0,25210,,0,25210,0,0,25210,,0,0,25210,,,,25210,,,,25210,,,0,25210,,0,,25210,,0,,25210,
Otros,0,0,,,0,0,,,0,,,,,,,,0,,,,0,,,,0,,,,,,,,0,0,,,0,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantenimiento y reparaciones,247307,0,247307,,1833234,0,2080541,404815,0,2485356,1047694,0,3533050,1516442,0,5049492,241865,0,5291357,,105000,0,5396357,,341742,0,5738099,,859697,0,6597796,,1050368,0,7648164,,61534,0,7709698,,150000,0,7859698,
construcciones y edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maquinaria y equipo,217055,0,217055,,1061259,0,1278314,404815,,1683129,947694,,2630823,1186442,,3817265,241865,,4059130,,105000,,4164130,,117910,,4282040,,252000,,4534040,,856668,,5390708,,61534,,5452242,,,,5452242,
Equipo de oficina,0,0,,,0,0,,0,0,,,,,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
Equipo de computación y comunicación,,0,,,510294,0,510294,,0,510294,0,,510294,,,510294,,,510294,,0,,510294,,,,510294,,,,510294,,193700,,703994,,,,703994,,,,703994,
Flota y equipo de transportes,30252,0,30252,,261681,0,291933,,0,291933,100000,,391933,330000,,721933,,,721933,,,,721933,,223832,,945765,,607697,,1553462,,,,1553462,,,,1553462,,150000,,1703462,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adecuación e instalación,265300,0,265300,,30000,0,295300,65000,0,360300,76000,0,436300,,0,436300,,0,436300,,,0,436300,,,0,436300,,,0,436300,,,0,436300,,,0,436300,,,0,436300,
Instalaciones electricas ,0,0,,,30000,0,30000,65000,,95000,,0,95000,,0,95000,0,0,95000,,,,95000,,0,,95000,,,,95000,,,,95000,,0,,95000,,0,,95000,
Arreglos ornamentales,0,0,,,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,,,0,0,,,,0,,,0,0,,,0,0,,,0,0,,
Reparaciones locativas ,265300,0,265300,,,0,265300,,0,265300,76000,,341300,,,341300,,,341300,,,,341300,,,,341300,,,,341300,,,,341300,,,,341300,,,,341300,
Otros,0,0,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construcciones y edificaciones,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
maquinaria y equipo,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
equipo de oficina,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
equipo de computacion,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
flota y equipo de transporte,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversos,167272,0,167272,,413809,0,581081,416990,0,998071,389400,0,1387471,161118,0,1548589,109538,0,1658127,,348564,0,2006691,,182566,0,2189257,,452820,0,2642077,,338500,0,2980577,,645775,0,3626352,,995479,0,4621831,
Comisiones,0,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
Gastos de representación y relaciones públicas,,0,,,0,0,,0,0,,,0,,,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
Elementos de aseo y cafetería,14500,0,14500,,85714,0,100214,,0,100214,79900,,180114,,,180114,,,180114,,88352,,268466,,,,268466,,63669,,332135,,,,332135,,,,332135,,27479,,359614,
"Utiles, papelería y fotocopias",52772,0,52772,,,0,52772,,0,52772,95000,,147772,60100,,207872,,,207872,,113050,,320922,,,,320922,,39151,,360073,,13500,,373573,,235000,,608573,,258000,,866573,
Combustibles Turbo,100000,0,100000,,302650,0,402650,274990,,677640,192500,,870140,,,870140,100000,,970140,,147162,,1117302,,178028,,1295330,,300000,,1595330,,315000,,1910330,,372775,,2283105,,200000,,2483105,
Combustible Mantenimiento,,0,,,,0,,,0,,16000,,16000,96312,,112312,,,112312,,,,112312,,,,112312,,,,112312,,,,112312,,,,112312,,,,112312,
Taxis y buses,0,0,,,11445,0,11445,,0,11445,0,,11445,,,11445,0,0,11445,,0,,11445,,0,0,11445,,,0,11445,,,0,11445,,0,0,11445,,0,0,11445,
Peajes,0,0,,,0,0,,,0,,0,0,,,0,,0,0,,,0,,,,0,,,,10000,,10000,,10000,,20000,,0,,20000,,10000,,30000,
Casino y restaurante,0,0,,,0,0,,,0,,0,0,,,0,,0,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Parqueaderos,,0,,,14000,0,14000,,0,14000,6000,,20000,4706,,24706,9538,,34244,,,,34244,,4538,,38782,,,,38782,,,,38782,,,,38782,,,,38782,
FUMIGACION,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otros,,,,,,,,142000,,142000,,,142000,,,142000,0,,142000,,0,,142000,,0,,142000,,40000,,182000,,0,,182000,,38000,,220000,,500000,,720000,
No Deducible,,0,,,0,0,,,0,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,0,,,,0,,,
Deterioro de cartera,,,,,,,,,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Operacionales de ventas,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Impuestos,0,0,,,,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
Otros,0,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrendamientos,0,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Maquinaria y equipo,0,0,,,,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seguros,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Otros,,,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
servicios ,0,0,,,0,0,,0,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
inmuebles,0,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantenimiento y reparaciones,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
Construcciones y edificaciones,,0,,,0,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADECUACIONES E INSTALACIONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reparaciones locativas,,,,,0,,,,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVERSOS ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisiones inmobiliaria,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No operacionales,155606,0,155606,,193552,0,349158,142764.82,0,491922.82,168591,0,660513.8200000001,145278,0,805791.8200000001,348510,0,1154301.82,,173235,0,1327536.82,,147512,0,1475048.82,,151656,0,1626704.82,,178156,0,1804860.82,,138508.1,0,1943368.9200000002,,183371,0,2126739.92,
Financieros,155606,0,155606,,193552,0,349158,142764.82,0,491922.82,168591,0,660513.8200000001,145278,0,805791.8200000001,348510,0,1154301.82,,173235,0,1327536.82,,147512,0,1475048.82,,,0,1475048.82,,178156,0,1653204.82,,138508.1,0,1791712.9200000002,,183371,0,1975083.9200000002,
Gastos bancarios,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisiones,92700,0,92700,,98850,0,191550,84700,,276250,100700,,376950,84700,,461650,160220,,621870,,100700,,722570,,92700,,815270,,92700,,907970,,92700,,1000670,,84700,,1085370,,100700,,1186070,
Intereses,4600,,4600,,3700,,8300,6300,,14600,1000,,15600,7900,,23500,,,23500,,4700,,28200,,0,,28200,,,,28200,,22000,,50200,,,,50200,,1600,,51800,
4 X MIL,29793,0,29793,,64009,0,93802,24759,,118561,,,118561,25685,,144246,146949,,291195,,37727,,328922,,26294,,355216,,30443,,385659,,32943,,418602,,26815,,445417,,51018,,496435,
Descuentos comerciales condicionados,0,0,,,,0,,12.82,,12.82,36858,,36870.82,,,36870.82,0,,36870.82,,75,,36945.82,,5,,36950.82,,28513,,65463.82,,2000,,67463.82,,0,,67463.82,,0,,67463.82,
