PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA
"AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8"
MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353
CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO 
TABLERO DE MADERA 70 X 140,15,95,180,17100,256500,26,2470
"PARALES3,5 MTS",15,80,150,12000,180000,15.5,1240
BANDAS 40 X 140,15,20,140,2800,42000,16,320
CERCHA 1MTS,15,8,120,960,14400,13,104
CERCHA DE 3M TS,15,32,120,3840,57600,29,928
FORMALETAS 30 X 120,15,20,260,5200,78000,13.5,270
MARZ0 13 AL 27/2023,MARZ0 13 AL 27/2023,VALOR DIARIO,VALOR DIARIO,42000,PESO TOTAL,PESO TOTAL,5062
MARZ0 13 AL 27/2023,MARZ0 13 AL 27/2023,VALOR TOTAL,VALOR TOTAL,630000,,,
MARZ0 13 AL 27/2023,MARZ0 13 AL 27/2023,TRANSPORTE,TRANSPORTE,150000,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA
MARZ0 13 AL 27/2023,MARZ0 13 AL 27/2023,TOTAL,TOTAL,780000,,,
DEPOSITO,,,,800000,,,
