FEBRERO 1 AL 15 ,FEBRERO 1 AL 15 ,TRANSPORTE,TRANSPORTE,200000,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,,,
FEBRERO 1 AL 15 ,FEBRERO 1 AL 15 ,GRAN TOTAL,GRAN TOTAL,588200,,,,,,
REQUISITOS,,,,,,,,,,
IMPUESTO PREDIAL DEL INMUEBLE ,,,,,,,,,,
PAGO DEL ALQUILER,,,,,,,,,,
CEDULA DE CIUDADANIA RESPONSABLE,,,,,,,,,,
LLENAR FORMATO DE CLIENTES,,,,,,,,,,
DEPOSITO DE $1.000.000,,,,,,,,,,
SE COBRAN LOS DIAS DE ALQUILER.15 dias de alquiler es una referencia,,,,,,,,,,
ESTA COTIZACION ES UN APROXIMADO DEL MATERIAL Y SUS CANTIDADES DEBE VERIFICARLAS EL MAESTRO QUE HACE LA OBRA,,,,,,,,,,
EL MATERIAL SE COBRA DESDE EL DIA QUE SALE HASTA EL DIA QUE SE RECIBE INCLUYE DOMINGOS Y FESTIVOS,,,,,,,,,,
,,,,,,,,,,
                                                                                                                   ,                                                                                                                   ,                                                                                                                   ,                                                                                                                   ,                                                                                                                   ,                                                                                                                   ,                                                                                                                   ,                                                                                                                   ,,,
COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,,,
MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO,,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO ,,,
"TABLERO 70 X 1,40",15,76,160,12160,182400,25,1900,,,
"TABLERO 40 X 1,40",15,10,160,1600,24000,16,160,,,
CERCHA 3 MTS,15,24,120,2880,43200,29,696,,,
"CERCHA 1,5MTS",15,6,120,720,10800,12,72,,,
PARALES 3 MTS,15,71,120,8520,127800,13.5,958.5,,,
FEBRERO 1 AL 15 ,FEBRERO 1 AL 15 ,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,25880,PESO TOTAL,PESO TOTAL,3786.5,,,
FEBRERO 1 AL 15 ,FEBRERO 1 AL 15 ,TOTAL DIAS,TOTAL DIAS,388200,,,,,,
FEBRERO 1 AL 15 ,FEBRERO 1 AL 15 ,TRANSPORTE,TRANSPORTE,200000,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,,,
FEBRERO 1 AL 15 ,FEBRERO 1 AL 15 ,GRAN TOTAL,GRAN TOTAL,588200,,,,,,
ESTA COTIZACION ES UN APROXIMADO DEL MATERIAL Y SUS CANTIDADES DEBE VERIFICARLAS EL MAESTRO QUE HACE LA OBRA,,,,,,,,,,
EL MATERIAL SE COBRA DESDE EL DIA QUE SALE HASTA EL DIA QUE SE RECIBE INCLUYE DOMINGOS Y FESTIVOS,,,,,,,,,,
JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,,,
COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,,,
MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO,,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO ,,,
FORMALETA METALICA 15 X 120,8,32,240,7680,61440,9.5,304,POLIMYS,,
CHAPETAS,8,70,20,1400,11200,0.2,14,,,
FEBREO 7 AL 15,FEBREO 7 AL 15,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,9080,PESO TOTAL,PESO TOTAL,318,,,
FEBREO 7 AL 15,FEBREO 7 AL 15,TOTAL DIAS,TOTAL DIAS,72640,,,,,,
FEBREO 7 AL 15,FEBREO 7 AL 15,TRANSPORTE,TRANSPORTE,50000,LLEVADA ,LLEVADA ,LLEVADA ,,,
FEBREO 7 AL 15,FEBREO 7 AL 15,GRAN TOTAL,GRAN TOTAL,122640,,,,,,460840
ESTA COTIZACION ES UN APROXIMADO DEL MATERIAL Y SUS CANTIDADES DEBE VERIFICARLAS EL MAESTRO QUE HACE LA OBRA,,,,,,,,,,
EL MATERIAL SE COBRA DESDE EL DIA QUE SALE HASTA EL DIA QUE SE RECIBE INCLUYE DOMINGOS Y FESTIVOS,,,,,,,,,,
