5 DIAS ,5 DIAS ,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,27100,PESO TOTAL,PESO TOTAL,1249.5,,,,,
5 DIAS ,5 DIAS ,TOTAL DIAS,TOTAL DIAS,406500,,,,,,,,
5 DIAS ,5 DIAS ,TRANSPORTE,TRANSPORTE,200000,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,,,,,                                                                                                                                                                                                                                
5 DIAS ,5 DIAS ,GRAN TOTAL,GRAN TOTAL,606500,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,,,,,
COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,,,,,
PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,,,,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO,,,,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO ,,,,,
FORMALETA 60 X 120,15,72,360,25920,388800,26,1872,,,,,
CERCHA 3 MTS,15,15,120,1800,27000,29,435,,,,,
CERCHA 3 MTS,15,5,120,600,9000,29,145,,,,,
PARALES 3 MTS,15,40,120,4800,72000,13.5,540,,,,,
CHAPETAS ,15,350,20,7000,105000,0.2,70,,,,,
MARZO 17 AL 31,MARZO 17 AL 31,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,40120,PESO TOTAL,PESO TOTAL,3062,,,,,
MARZO 17 AL 31,MARZO 17 AL 31,TOTAL DIAS,TOTAL DIAS,601800,,,,,,,,
MARZO 17 AL 31,MARZO 17 AL 31,TRANSPORTE,TRANSPORTE,140000,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,,,,,
MARZO 17 AL 31,MARZO 17 AL 31,GRAN TOTAL,GRAN TOTAL,741800,,,,,,,,
RERQUISITOS,,,,,,,,,,,,
DEPOSITO,,,,800000,,,,,,,,
RECIBO DEL INMUEBLE DONDE ESTA MATERIAL,,,,,,,,,,,,
,,,,,,,,,,,,
JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,,,,,
COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,,,,,
PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,PLACA VILLA LUZ Maestro juan: 3112930796,,,,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO,,,,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO ,,,,,
FORMALETA 60 X 120,15,72,360,25920,388800,26,1872,,,,,
CERCHA 3 MTS,15,15,120,1800,27000,29,435,,,,,
CERCHA2 MTS,15,5,120,600,9000,16,80,,,,,
PARALES 3 MTS,15,40,120,4800,72000,13.5,540,,,,,
CHAPETAS ,15,350,20,7000,105000,0.2,70,,,,,
MARZO 17 AL 31,MARZO 17 AL 31,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,40120,PESO TOTAL,PESO TOTAL,2997,,,,,
MARZO 17 AL 31,MARZO 17 AL 31,TOTAL DIAS,TOTAL DIAS,601800,,,,,,,,
MARZO 17 AL 31,MARZO 17 AL 31,TRANSPORTE,TRANSPORTE,140000,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,,,,,
MARZO 17 AL 31,MARZO 17 AL 31,GRAN TOTAL,GRAN TOTAL,741800,,,,,,,,
RERQUISITOS,,,,,,,,,,,,
ABONO,,,,800000,,,,,,,,
