KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,,
"FORMALETA DE 40*1,20",6,15,350,5250,31500,,
"FORMALETA DE 30*1,20",2,3,320,960,1920,,
"FORMALETA DE 30*1,20",6,7,320,2240,13440,,
"FORMALETA DE 30*1,20",4,7,320,2240,8960,,
"FORMALETA DE 25*1,20",7,1,300,300,2100,,
"FORMALETA DE 20*1,20",6,6,280,1680,10080,,
"ANGULOS DE 1,20",7,24,120,2880,20160,,
ANGULOS DE 60,7,36,100,3600,25200,,
ANGULOS DE 60,4,1,100,100,400,,
ALINEADOR DE 1 MTRO,7,60,150,9000,63000,,
ALINEADOR DE 1 MTRO,4,1,150,150,600,,
TENSORES,7,40,130,5200,36400,,
CHAPETAS,7,246,28,6888,48216,,
PARALES DE  3 MTROS,7,30,200,6000,42000,,
PARALES DE  4 MTROS,7,14,250,3500,24500,,
PARALES DE  4 MTROS,4,2,250,500,2000,,
PARALS DE 1 MTRO,7,10,200,2000,14000,,
PARALS DE 6 MTRO,7,24,350,8400,58800,,
MAYO 21 AL 31,MAYO 21 AL 31,VALOR IVA INCLUIDO ,VALOR IVA INCLUIDO ,76455.12,,,
MAYO 21 AL 31,MAYO 21 AL 31,VALOR DIAS,VALOR DIAS,426796,,,
MAYO 21 AL 31,MAYO 21 AL 31,IVA,IVA,81091.24,,,
MAYO 21 AL 31,MAYO 21 AL 31,TRANSPORTE LLEVADA Y TRAIDA,TRANSPORTE LLEVADA Y TRAIDA,,,,
MAYO 21 AL 31,MAYO 21 AL 31,VALOR  TOTAL,VALOR  TOTAL,507887.24,,,
,,,,,,,
MATERIAL NO ENTREGADO,CANTIDAD ,VALOR ,TOTAL,,,,
,,UNITARIO ,,,,,
"FORMALETA DE 30*1,20",1,140000,140000,,,,
ANGULO DE 60,1,12000,12000,,,,
PARAL DE 4 MTROS,2,180000,360000,,,,
BASE DE PARAL ,2,100000,200000,,,,
TOTAL MATERIAL A LA FECHA,712000,712000,712000,,,,
,,,,RET 4%,,,
ADEUDADO A MAYO 20 2026,,,1096362,[object Object],3088875,,
PREFACTURA MAYO 21 AL 31,,,507887,20315.48,,,
MATERIAL NO ENTREGADO,,,752000,18800,,,
TOTAL A PAGAR A 31  MAYO,,,2356249,[object Object],[object Object],,
,,,,,,,
,,,,,,,
KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME
CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009
MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30
MATERIAL,SALDO,13778,13730,13428,13737,,SALDO
,2026-05-31,2026-06-03,2026-06-22,2026-06-22,2026-06-25,,2026-07-01
"FORMALETA DE 30*1,20",1,,,,,,1
ANGULOS DE 60,1,4,,-4,,,1
ALINEADOR DE 1 MTRO,1,,,-1,,,
PARALES DE 4 MTRS,2,,,,,,2
BASE DE PARAL DE 3 MTROS ,2,,,,,,2
"FORMALETA DE 60*1,20",,20,,-20,,,
"FORMALETA DE 40*1,20",,10,,-10,,,
"ANGULOS DE 1,20",,5,,-5,,,
CHAPETAS ,,300,,-300,,,
ALINEADOR DE 4 MTROS ,,8,,,,,8
TENSORES,,40,,-40,,,
"FORMALETA DE 20*1,20",,,21,,,,21
PARALES DE 6 MTROS ,,,,,10,,10
CAJA METALICA,,1,,-1,,,
HORA,,04:00,09:04,01:35,09:20,,
Transporte,,AWG-768,CWG-768,CWG-768,RDR-416,,
,,,,,,,
MATERIAL NO ENTREGADO,CANTIDAD ,VALOR ,TOTAL,,,,
,,UNITARIO ,,,,,
"FORMALETA DE 30*1,20",1,140000,140000,aparecio,,,
ANGULO DE 60,1,12000,12000,,,,
PARAL DE 4 MTROS,2,180000,360000,,,,
BASE DE PARAL ,2,100000,200000,-1,,,
TOTAL MATERIAL A LA FECHA,712000,712000,712000,,,,
,,,,,,,
,,,,,,,
JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,
KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,
PORTACHUELO,PORTACHUELO,PORTACHUELO,PORTACHUELO,PORTACHUELO,PORTACHUELO,PORTACHUELO,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PERIODO,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PERIODO,
"FORMALETA DE 30*1,20",30,1,320,320,9600,JUNIO 1 AL 30,
ANGULOS DE 60,30,1,100,100,3000,JUNIO 1 AL 30,
ANGULOS DE 60,19,3,100,300,5700,JUNIO 4 AL 22,
ALINEADOR DE 1 MTRO,22,1,150,150,3300,JUNIO 1 AL 22,
PARALES DE  4 MTROS,30,2,250,500,15000,JUNIO 1 AL 30,
BASE PARALES DE  3 MTROS,30,2,100,200,6000,JUNIO 1 AL 30,
"FORMALETA DE 60*1,20",19,20,420,8400,159600,JUNIO 4 AL 22,
"FORMALETA DE 40*1,20",19,10,350,3500,66500,JUNIO 4 AL 22,
"ANGULOS DE 1,20",19,5,150,750,14250,JUNIO 4 AL 22,
CHAPETAS,19,300,28,8400,159600,JUNIO 4 AL 22,
ALINEADOR DE4 MTRO,27,8,450,3600,97200,JUNIO 4 AL 30,
TENSORES,19,40,130,5200,98800,JUNIO 4 AL 22,
"FORMALETA DE 20*1,20",8,21,280,5880,47040,JUNIO 22 AL 30,
PARALS DE 6 MTRO,6,10,350,3500,21000,JUNIO 25 AL 30,
JUNIO 1 AL 30,JUNIO 1 AL 30,VALOR DIAS,VALOR DIAS,706590,,,
JUNIO 1 AL 30,JUNIO 1 AL 30,IVA,IVA,134252.1,,,
JUNIO 1 AL 30,JUNIO 1 AL 30,VALOR  TOTAL,VALOR  TOTAL,840842.1,,,
