CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,
RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PERIODO,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PERIODO,
ALINEADOR DE 6 MTRS,24,40,600,24000,576000,JUNIO 1 AL 24,
ALINEADOR DE 6 MTRS,6,11,600,6600,39600,JUNIO25 AL 30,
"FORMALETA DE 60*1,20",24,110,450,49500,1188000,JUNIO 1 AL 24,
"FORMALETA DE 60*1,20",6,77,450,34650,207900,JUNIO25 AL 30,
ALINEADOR DE 3 MTROS,24,8,400,3200,76800,JUNIO 1 AL 24,
ALINEADOR DE 3 MTROS,6,8,400,3200,19200,JUNIO25 AL 30,
"FORMALETA DE 50*1,20",24,50,360,18000,432000,JUNIO 1 AL 24,
"FORMALETA DE 50*1,20",6,27,360,9720,58320,JUNIO25 AL 30,
"FORMALETA DE 20*1,20",24,60,280,16800,403200,JUNIO 1 AL 24,
"FORMALETA DE 20*1,20",6,14,280,3920,23520,JUNIO25 AL 30,
"FORMALETA DE 30*1,20",24,46,350,16100,386400,JUNIO 1 AL 24,
"FORMALETA DE 30*1,20",6,7,350,2450,14700,JUNIO25 AL 30,
FORMALETA DE 25*120,24,2,340,680,16320,JUNIO 1 AL 24,
TENSORES ,30,120,120,14400,432000,JUNIO 1 AL 30,
CHAPETAS ,30,1500,28,42000,1260000,JUNIO 1 AL 30,
"RINCONERAS DE 10*10*1,20",24,2,320,640,15360,JUNIO 1 AL 24,
"RINCONERAS DE 10*10*1,20",6,1,320,320,1920,JUNIO25 AL 30,
ANGULOS DE 1.20,30,8,120,960,28800,JUNIO 1 AL 30,
PARALES DE 4 MTROS ,24,80,250,20000,480000,JUNIO 1 AL 24,
PARALES DE 4 MTROS ,6,28,250,7000,42000,JUNIO25 AL 30,
PARALES DE 1 MTRO,30,40,200,8000,240000,JUNIO 1 AL 30,
PINES ,30,700,25,17500,525000,JUNIO 1 AL 30,
JUNIO 1 AL 30,JUNIO 1 AL 30,TOTAL DIARIO IVA INCLUIDO,TOTAL DIARIO IVA INCLUIDO,356571.6,,,
JUNIO 1 AL 30,JUNIO 1 AL 30,ALQUILER 30 DIAS SIN IVA,ALQUILER 30 DIAS SIN IVA,6467040,,,
JUNIO 1 AL 30,JUNIO 1 AL 30,IVA ,IVA ,1228737.6,,,
JUNIO 1 AL 30,JUNIO 1 AL 30,TRANSPORTE,TRANSPORTE,160000,,,
JUNIO 1 AL 30,JUNIO 1 AL 30,TOTAL ALQUILER,TOTAL ALQUILER,7855777.6,,,
,,,,,,,
MATERIAL NO ENTREGADO,CANTIDAD ,VALOR ,TOTAL,,,,
,,UNITARIO ,,,,,
"FORMALETA DE 30*1,20",1,160000,160000,,,,
FORMALETA 60 X 120,2,250000,500000,,,,
TOTAL MATERIAL ADAÑADO A JUNIO 30 /2026,TOTAL MATERIAL ADAÑADO A JUNIO 30 /2026,,660000,,,,
TOTAL MATERIAL ADAÑADO A JUNIO 30 /2026,TOTAL MATERIAL ADAÑADO A JUNIO 30 /2026,IVA 19 %,125400,,,,
TOTAL MATERIAL ADAÑADO A JUNIO 30 /2026,TOTAL MATERIAL ADAÑADO A JUNIO 30 /2026,TOTAL,785400,,,,
