EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511030,Asesoría financiera,300000,0,300000,,300000,0,600000,300000,,900000,300000,,1200000,300000,,1500000,300000,,1800000,,300000,,2100000,,300000,,2400000,,300000,,2700000,,300000,,3000000,,300000,,3300000,,300000,,3600000,
511095,EXOGENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5115,Impuestos,446976,0,446976,,,0,446976,,0,446976,,0,446976,,0,446976,,0,446976,,411800,0,858776,,,0,858776,,,0,858776,,,0,858776,,,0,858776,,,0,858776,
511505,Insdustria y Comercio ,0,0,,,0,0,,,0,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,
511515,A la propiedad raiz ,0,0,,,0,0,,0,0,,0,0,,0,0,,,0,,,327000,0,327000,,0,0,327000,,0,0,327000,,0,0,327000,,0,0,327000,,0,0,327000,
511540,De vehículos,446976,0,446976,,,0,446976,,0,446976,0,0,446976,0,0,446976,,0,446976,,84800,0,531776,,0,0,531776,,0,0,531776,,0,0,531776,,0,0,531776,,0,0,531776,
511595,Otros,0,,,,,,,,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5120,Arrendamientos,2120000,0,2120000,,2375080,0,4495080,2120000,0,6615080,2547332,0,9162412,2260000,0,11422412,2120000,0,13542412,,1808472,0,15350884,,1791000,0,17141884,,1521600,0,18663484,,1408750,0,20072234,,1649496,0,21721730,,1370000,0,23091730,
512010,Construcciones y edificaciones,2120000,0,2120000,,2120000,0,4240000,2120000,0,6360000,2120000,0,8480000,2120000,0,10600000,2120000,,12720000,,1370000,,14090000,,1370000,,15460000,,1370000,,16830000,,1370000,,18200000,,1370000,,19570000,,1370000,,20940000,
512015,Maquinaria y equipo ,,0,,,255080,,255080,,,255080,427332,,682412,140000,,822412,0,,822412,,438472,,1260884,,421000,,1681884,,151600,,1833484,,38750,,1872234,,279496,,2151730,,,,2151730,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5125,Afilicaciones y contribuciones,25210,,25210,,,,25210,,,25210,0,,25210,,,25210,0,,25210,,0,,25210,,0,,25210,,476700,,501910,,193970,,695880,,199978,,895858,,0,,895858,
512510,Afiliaciones ,25210,0,25210,,,,25210,0,,25210,,,25210,,,25210,0,,25210,,0,,25210,,0,,25210,,476700,,501910,,193970,,695880,,199978,,895858,,0,,895858,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5130,Seguros,884700,0,884700,,,0,884700,,0,884700,,0,884700,,0,884700,,0,884700,,,0,884700,,,0,884700,,,0,884700,,,0,884700,,,0,884700,,,0,884700,
513040,Flota y equipo de transporte ,884700,,884700,,,,884700,,,884700,,,884700,,,884700,0,,884700,,0,,884700,,0,,884700,,0,,884700,,0,,884700,,0,,884700,,0,,884700,
513075,Obligatorio accidente de transito ,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
513095,Otros SOAT ,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5135,Servicios,3418505,0,3418505,,2074272,0,5492777,3647620,0,9140397,2591750,0,11732147,5752836,0,17484983,4358266,0,21843249,,3158185,0,25001434,,3190140,0,28191574,,3642080,0,31833654,,5798381,0,37632035,,3600180,0,41232215,,5438499,0,46670714,
513505,Aseo y vigilancia,,0,,,,0,,0,0,,0,0,,70000,0,70000,0,0,70000,,0,0,70000,,70000,0,140000,,20000,0,160000,,0,0,160000,,,0,160000,,,0,160000,
513510,Temporales,2935000,0,2935000,,1725000,0,4660000,2972500,,7632500,2312500,,9945000,5052500,,14997500,3920000,,18917500,,2734500,,21652000,,2726500,,24378500,,3185000,,27563500,,4900000,,32463500,,3150000,,35613500,,4807500,,40421000,
513520,Procesamiento datos,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,
513525,Acueducto y alcantarillado,71820,0,71820,,71770,0,143590,75870,,219460,118310,,337770,120150,,457920,104040,,561960,,104070,,666030,,77590,,743620,,77450,,821070,,129000,,950070,,129170,,1079240,,129140,,1208380,
513530,Energía eléctrica,125710,0,125710,,91527,0,217237,145236,,362473,,,362473,128771,,491244,132071,,623315,,122140,,745455,,118010,,863465,,100145,,963610,,111952,,1075562,,122970,,1198532,,118819,,1317351,
513535,Teléfono fijo y moviles,185975,0,185975,,185975,0,371950,174014,,545964,160940,,706904,161415,,868319,202155,0,1070474,,197475,,1267949,,198040,,1465989,,219485,,1685474,,197429,,1882903,,198040,,2080943,,198040,,2278983,
513540,Correo portes y telegrama,,0,,,0,0,,0,0,,0,,,0,,,0,0,,,0,0,,,,0,,,0,0,,,0,0,,,0,0,,,0,0,,
513595,Otros ,,0,,,0,0,,0,0,,,0,,,0,,0,0,,,0,0,,,,0,,,0,0,,,0,0,,,0,0,,,0,0,,
513550,"Transportes, fletes y acarreos",100000,0,100000,,0,0,100000,280000,0,380000,,0,380000,220000,0,600000,,,600000,,,,600000,,,,600000,,40000,,640000,,460000,,1100000,,,,1100000,,185000,,1285000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5140,Gastos legales,343600,0,343600,,11600,0,355200,,0,355200,11600,0,366800,,0,366800,11600,0,378400,,,0,378400,,,0,378400,,1449600,0,1828000,,,0,1828000,,,0,1828000,,,0,1828000,
514005,Notariales,0,0,,,0,0,,0,0,,,,,0,,,0,0,,,0,0,,,0,0,,,,0,,,,0,,,0,0,,,0,0,,
514010,Registro mercantil,343600,0,343600,,11600,0,355200,,0,355200,11600,,366800,,,366800,11600,,378400,,0,,378400,,,,378400,,1449600,,1828000,,0,0,1828000,,,,1828000,,,,1828000,
514015,Trámites y licencias,,0,,,0,0,,,0,,0,0,,,0,,0,0,,,0,0,,,0,,,,,,,,,0,,,0,,,,0,,,
514095,Otros,0,0,,,0,0,,,0,,,,,,,,0,,,,0,,,,0,,,,,,,,0,0,,,0,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145,Mantenimiento y reparaciones,38000,0,38000,,403021,0,441021,1474632,0,1915653,907538,0,2823191,1825585,0,4648776,348781,0,4997557,,189268,0,5186825,,292058,0,5478883,,363448,0,5842331,,182800,0,6025131,,4060500,0,10085631,,188806,0,10274437,
514510,construcciones y edificaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
514515,Maquinaria y equipo,32000,0,32000,,399021,0,431021,953287,,1384308,303000,,1687308,697014,,2384322,61000,,2445322,,119268,,2564590,,130000,,2694590,,61000,,2755590,,112800,,2868390,,3320500,,6188890,,42000,,6230890,
514520,Equipo de oficina,0,0,,,0,0,,0,0,,,,,,,,0,,,,,,,,,,,,0,,,,0,,,,,,,,0,,,
514525,Equipo de computación y comunicación,,0,,,,0,,177311,0,177311,,,177311,,,177311,,,177311,,0,,177311,,147058,,324369,,,,324369,,,,324369,,,,324369,,70588,,394957,
514540,Flota y equipo de transportes,6000,0,6000,,4000,0,10000,344034,0,354034,604538,,958572,1128571,,2087143,287781,,2374924,,70000,,2444924,,15000,,2459924,,302448,,2762372,,70000,,2832372,,740000,,3572372,,76218,,3648590,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150,Adecuación e instalación,,0,,,,0,,285000,0,285000,,0,285000,,0,285000,,0,285000,,50000,0,335000,,169600,0,504600,,100000,0,604600,,,0,604600,,,0,604600,,,0,604600,
515005,Instalaciones electricas ,0,0,,,,0,,,,,,0,,,0,,0,0,,,,,,,0,,,0,100000,,100000,,,,100000,,0,,100000,,0,,100000,
515010,Arreglos ornamentales,0,0,,,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,,,0,0,,,,0,,,0,0,,,0,0,,,0,0,,
515015,Reparaciones locativas ,,0,,,,0,,250000,0,250000,,,250000,,,250000,,,250000,,50000,,300000,,169600,,469600,,,,469600,,,,469600,,,,469600,,,,469600,
515095,Otros,0,0,,,0,0,,35000,0,35000,,,35000,,,35000,,,35000,,,,35000,,,,35000,,,,35000,,,,35000,,,,35000,,,,35000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5160,Depreciacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516005,construcciones y edificaciones,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
516010,maquinaria y equipo,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
516015,equipo de oficina,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
516020,equipo de computacion,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
516035,flota y equipo de transporte,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5195,Diversos,207567,0,207567,,400230,0,607797,373453,0,981250,661325,0,1642575,443786,0,2086361,421223,0,2507584,,115975,0,2623559,,380600,0,3004159,,819881,0,3824040,,647751,0,4471791,,402000,0,4873791,,1011956,0,5885747,
519505,Comisiones,0,0,,,0,0,,0,0,,0,0,,50099,0,50099,0,0,50099,,0,0,50099,,0,0,50099,,0,0,50099,,0,0,50099,,0,0,50099,,0,0,50099,
519520,Gastos de representación y relaciones públicas,,0,,,0,0,,0,0,,,0,,,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,,0,,
519525,Elementos de aseo y cafetería,5000,0,5000,,22100,0,27100,73199,0,100299,1000,,101299,16008,,117307,,,117307,,15975,,133282,,25600,,158882,,,,158882,,134545,,293427,,,,293427,,,,293427,
519530,"Utiles, papelería y fotocopias",99871,0,99871,,53500,0,153371,100224,0,253595,7500,,261095,,,261095,41175,,302270,,,,302270,,,,302270,,97305,,399575,,193206,,592781,,,,592781,,100000,,692781,
519535,Combustibles Turbo,100000,0,100000,,317000,0,417000,200000,,617000,190601,,807601,375004,,1182605,380048,,1562653,,100000,,1662653,,355000,,2017653,,641076,,2658729,,320000,,2978729,,402000,,3380729,,532500,,3913229,
519540,Combustible Mantenimiento,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
519545,Taxis y buses,0,0,,,,0,,,0,,0,,,,,,0,0,,,0,,,,,0,,,,0,,,,0,,,0,0,,,0,0,,
519555,Peajes,0,0,,,0,0,,,0,,0,0,,,0,,0,0,,,0,,,,,,,,,,,,0,,,,0,,,,0,,,
519560,Casino y restaurante,0,0,,,0,0,,,0,,0,0,,,0,,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,
519565,Parqueaderos,2690,0,2690,,7400,0,10090,,0,10090,,,10090,,,10090,,,10090,,,,10090,,,,10090,,1500,,11590,,,,11590,,,,11590,,3000,,14590,
519576,FUMIGACION,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519595,Otros,6,,,,230,,230,30,,260,,,260,,,260,0,,260,,0,,260,,0,,260,,80000,,80260,,0,,80260,,0,,80260,,376456,,456716,
519596,No Deducible,,0,,,0,0,,,0,,462224,,462224,2675,,464899,0,,464899,,0,,464899,,0,,464899,,,,464899,,,,464899,,0,,464899,,,,464899,
519910,Deterioro de cartera,,,,,,,,,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
52,Operacionales de ventas,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
5215,Impuestos,0,0,,,,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
521595,Otros,0,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220,Arrendamientos,0,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
522015,Maquinaria y equipo,0,0,,,,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5230,Seguros,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
523095,Otros,,,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5235,servicios ,0,0,,,0,0,,0,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
5235,inmuebles,0,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245,Mantenimiento y reparaciones,,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
524510,Construcciones y edificaciones,,0,,,0,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5250,ADECUACIONES E INSTALACIONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525015,Reparaciones locativas,,,,,0,,,,,,0,,,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5295,DIVERSOS ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529510,Comisiones inmobiliaria,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,No operacionales,136652,0,136652,,70242,0,206894,263599,0,470493,163669,0,634162,143658,0,777820,140245,0,918065,,175497,0,1093562,,218445,0,1312007,,170808,0,1482815,,151336,0,1634151,,179915,0,1814066,,213489,0,2027555,
5305,Financieros,136652,0,136652,,70242,0,206894,263599,0,470493,139669,0,610162,143658,0,753820,140245,0,894065,,175497,0,1069562,,149814,0,1219376,,170808,0,1390184,,151015,0,1541199,,179915,0,1721114,,213489,0,1934603,
530505,Gastos bancarios,,0,,,,0,,,0,,,,,,,,8400,,8400,,,,8400,,,,8400,,0,,8400,,,,8400,,,,8400,,,,8400,
