,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2020,VENTAS FISCALES 2019,VENTAS FISCALES 2018,VENTAS FISCALES 2017,VENTAS SIN IVA 2020,VENTAS SIN IVA 2019,VENTAS SIN IVA 2018,VENTAS SIN IVA 2017,GASTOS 2020,GASTOS  2019,GASTOS  2018,GASTOS 2017,UTILIDAD 2020,UTILIDAD 2019 ,UTILIDAD 2018 ,UTILIDAD  2017
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2020,VENTAS FISCALES 2019,VENTAS FISCALES 2018,VENTAS FISCALES 2017,,,,,,,,,,,,
,ENERO ,9772741,5232922,20519674,4068398,,,,,,,,,,,,
,FEBRERO ,8662267,6735984,347610,3781685,,,,,,,,,,,,
,MARZO,11213082,4072345,245528,3264345,,,,,,,,,,,,
,ABRIL ,109000,8902568,311788,5714524,,,,,,,,,,,,
,MAYO ,,4831245,2070588,1563099,,,,,,,,,,,,
,JUNIO ,15088775,2541098,4186225,2504537,,,,,,,,,,,,
,JULIO,5107405,2060928,3502320,14376812,,,,,,,,,,,,
,AGOSTO,4348355,722060,13456626,9843168,,,,,,,,,,,,
,SEPTIEMBRE,5343486,1921510,0,6807513,,,,,,,,,,,,
,OCTUBRE ,5206920,1940050,11000000,3921439,,,,,,,,,,,,
,NOVIEMBRE ,4539945,6096979,12000000,2545390,,,,,,,,,,,,
,DICIEMBRE ,5671900,10802895,13000000,68513641,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,TOTAL ,75063876,55860584,80640359,126904551,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,MES,VENTAS SIN IVA 2020,VENTAS SIN IVA 2019,VENTAS SIN IVA 2018,VENTAS SIN IVA 2017,,,,,,,,,,,,
,ENERO ,4656136,7998115,5489862,3111549,,,,,,,,,,,,
,FEBRERO ,7804429,4974355,7374328,8157506,,,,,,,,,,,,
,MARZO,5900305,7130437,5439456,5780617,,,,,,,,,,,,
,ABRIL ,121014,6001004,7142915,5636163,,,,,,,,,,,,
,MAYO ,1804105,7419178,5721041,13796936,,,,,,,,,,,,
,JUNIO ,5883300,6384585,4021740,6565667,,,,,,,,,,,,
,JULIO,9069381,4374077,1959742,6138041,,,,,,,,,,,,
,AGOSTO,6862717,8088583,4820282,5449400,,,,,,,,,,,,
,SEPTIEMBRE,9114471,5761435,6035931,6941815,,,,,,,,,,,,
,OCTUBRE ,11912109.83,5903667,10697305,5541550,,,,,,,,,,,,
,NOVIEMBRE ,9403633,6953987,7259988,6901480,,,,,,,,,,,,
,DICIEMBRE,11129725,3580427,8230584,7106144,,,,,,,,,,,,
,TOTAL ,83661325.83,74569850,74193174,81126868,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,MES,GASTOS  2020,GASTOS  2019,GASTOS  2018,GASTOS 2017,,,,,,,,,,,,
,ENERO ,11183760,8192569,7055307,10452832,,,,,,,,,,,,
,FEBRERO ,13337610,8084721,8975623,8843670,,,,,,,,,,,,
,MARZO,10865138,8025783,9788704,8621927,,,,,,,,,,,,
,ABRIL ,8424882,11161681,9211395,6162384,,,,,,,,,,,,
,MAYO ,10909925,10164486,8014528,10155182,,,,,,,,,,,,
,JUNIO ,12990071,8433671,7385244,14240736,,,,,,,,,,,,
,JULIO,11530572,8752682,7676064,10531315,,,,,,,,,,,,
,AGOSTO,11013798,10250005,9472439,10083753,,,,,,,,,,,,
,SEPTIEMBRE,11098718,12341540.75,16476675,13656658,,,,,,,,,,,,
,OCTUBRE ,14559398,13788360.75,10699836,12463405,,,,,,,,,,,,
,NOVIEMBRE ,15548745,12146150.75,12696365,13179987,,,,,,,,,,,,
,DICIEMBRE,12796951,9554095.75,8852048,27294325,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,TOTAL ,144259568,120895746,116304228,145686174,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,MES,UTILIDAD 2020,UTILIDAD 2019,UTILIDAD 2018,UTILIDAD  2017,,,,,,,,,,,,
,ENERO ,3245117,5038468,18954229,-3272885,,,,,,,,,,,,
,FEBRERO ,3129086,3625618,-1253685,3095521,,,,,,,,,,,,
,MARZO,6248249,3176999,-4103720,423035,,,,,,,,,,,,
,ABRIL ,-8194868,3741891,-1756692,5188303,,,,,,,,,,,,
,MAYO ,-9105820,2085937,-222899,5204853,,,,,,,,,,,,
,JUNIO ,7982004,492012,822721,-5170532,,,,,,,,,,,,
,JULIO,2646214,-2317677,-2214002,9983538,,,,,,,,,,,,
,AGOSTO,197274,-1439362,8804469,5208815,,,,,,,,,,,,
,SEPTIEMBRE,3359239,-4658595.75,-10440744,92670,,,,,,,,,,,,
,OCTUBRE ,2559631.829999998,-5944643.75,4755101,-3000416,,,,,,,,,,,,
,NOVIEMBRE ,-1605167,904815.25,-380592,-3733117,,,,,,,,,,,,
,DICIEMBRE,4004674,4829226.25,5224186,48325460,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,TOTAL ,14465633.829999998,9534688,18188372,62345245,,,,,,,,,,,,
